delta,EKF,IDEKF,sigma,metric
0.4,3.696602090533994,7.047069406290084,0.001,avg
0.6,2.9924751698764216,4.3883566391615965,0.001,avg
0.8,6.265500624937955,5.18908129463493,0.001,avg
0.1,4.579630771680716,2.7466863261364347,1e-08,avg
0.2,3.5136581579793353,3.0734369740103546,1e-08,avg
0.3,2.458472099655856,2.963799937388331,1e-08,avg
0.4,4.324456396159844,3.3594274760344156,1e-08,avg
0.5,4.111196405422134,3.932236715163774,1e-08,avg
0.6,2.2408919185776903,3.988582270302162,1e-08,avg
0.7,2.3444722128061266,0.9507985003433553,1e-08,avg
0.8,1.181555452231031,3.037764520033244,1e-08,avg
0.9,3.139218769641591,3.161864080937386,1e-08,avg
1.0,3.0085673280999945,3.2687380912584754,1e-08,avg
